Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
5165470263_sort.swc,4034,122532000.0,2,81,162,82,315170.0,245950.0,53493,413.853,1282840.0,1783520000.0,328000000000.0,257700.0,312068.0,22,0.929689,23.8951,0.880425,108.889,100.203,1.1627,interneuron,5165470263
33229410802_sort.swc,15853,184439000.0,5,941,1886,946,391750.0,299130.0,114972,416.531,4870500.0,6721660000.0,1360000000000.0,260002.0,346456.0,127,0.926067,7.40509,0.854246,100.599,92.704,1.54792,pyramidal neuron,33229410802
30824975205_sort.swc,5688,36348000.0,3,242,486,245,245760.0,328100.0,119658,465.221,1771750.0,2681210000.0,728000000000.0,220053.0,280436.0,46,0.938359,10.7016,0.831276,99.9343,93.1947,1.36148,pyramidal neuron,30824975205
32221255000_sort.swc,5873,173357000.0,2,176,353,178,244640.0,272510.0,114807,524.438,1859430.0,3394880000.0,1570000000000.0,205604.0,275474.0,67,0.92834,15.6346,0.851071,105.541,93.729,1.23869,pyramidal neuron,32221255000
27245044872_sort.swc,38066,361538000.0,7,2940,5894,2955,475110.0,395936.0,116193,360.617,11577000.0,13354200000.0,2090000000000.0,356207.0,407365.0,246,0.928682,5.45826,0.794459,100.307,95.467,1.87545,excitatory/spiny neuron with atypical tree,27245044872
27914135331_sort.swc,29880,557357000.0,7,2104,4216,2113,347390.0,295392.0,116226,418.044,9154020.0,12400800000.0,2340000000000.0,241338.0,390780.0,189,0.933189,6.08705,0.82862,101.464,96.2202,1.78503,pyramidal neuron,27914135331
4823164389_sort.swc,31411,245341000.0,5,1729,3467,1739,460570.0,596830.0,174009,543.786,9760610.0,17644500000.0,6760000000000.0,354539.0,591374.0,155,0.930879,8.05971,0.804245,100.363,93.7583,1.78871,interneuron,4823164389
40780243575_sort.swc,11432,133080000.0,4,534,1070,537,258940.0,156420.0,110253,289.756,3541540.0,3509320000.0,978000000000.0,206065.0,441819.0,81,0.928746,9.68318,0.867872,99.2479,92.0092,1.36805,pyramidal neuron,40780243575
29674461147_sort.swc,9747,140617000.0,6,324,653,330,634430.0,901278.0,116259,577.301,3099300.0,5881480000.0,1650000000000.0,869480.0,947492.0,144,0.933099,13.925,0.802518,101.117,90.1367,1.33352,pyramidal neuron,29674461147
29570969366_sort.swc,27332,335503000.0,7,1048,2102,1055,443110.0,768928.0,115269,565.933,8595890.0,16933200000.0,7470000000000.0,539887.0,634179.0,85,0.92757,12.0024,0.819355,101.435,91.4174,1.76947,interneuron,29570969366
5143333956_sort.swc,14684,211068000.0,7,751,1507,757,469570.0,549150.0,174009,507.808,4621190.0,8076730000.0,3160000000000.0,364652.0,491709.0,148,0.925723,8.7432,0.812983,103.065,94.8314,1.62231,excitatory/spiny neuron with atypical tree,5143333956
677867650_sort.swc,34485,113341000.0,1,2085,4175,2090,491070.0,474630.0,173613,555.018,10595300.0,19461000000.0,9110000000000.0,313435.0,487636.0,181,0.933778,7.25964,0.839883,101.305,95.1043,1.63974,interneuron,677867650
4086951943_sort.swc,49705,89986800.0,2,4026,8069,4044,585120.0,503456.0,173712,438.681,14898300.0,20915200000.0,4660000000000.0,443781.0,547024.0,276,0.930411,5.15987,0.839557,100.638,95.1109,1.95606,pyramidal neuron,4086951943
2062859376_sort.swc,11211,80363600.0,5,777,1559,783,278140.0,302688.0,109296,412.756,3438400.0,4681220000.0,1080000000000.0,234856.0,304643.0,119,0.921232,6.19051,0.817824,101.031,95.6799,1.42217,pyramidal neuron,2062859376
3018991226_sort.swc,14833,148814000.0,6,898,1802,905,337630.0,299520.0,115797,526.169,4573920.0,8180630000.0,3450000000000.0,266599.0,425232.0,181,0.931463,7.23085,0.833707,101.33,95.7347,1.59748,pyramidal neuron,3018991226
29730558578_sort.swc,8163,167471000.0,6,355,715,361,309920.0,229756.0,111870,430.349,2571790.0,3768440000.0,968000000000.0,188420.0,260347.0,54,0.919509,10.4154,0.786848,103.098,93.0034,1.33086,excitatory/spiny neuron with atypical tree,29730558578
