Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
2467759961_sort.swc,10828,135095000.0,4,726,1455,730,239040,459326,54681,530.083,3310210,5907960000,2741830000000.0,298752.0,369011.0,143,0.930307,6.44124,0.839735,101.507,94.3505,1.42259,2467759961
2527010166_sort.swc,31133,432514000.0,9,2671,5363,2693,527390,713600,143880,356.407,9433490,11509700000,2798800000000.0,638639.0,727210.0,406,0.928977,4.80496,0.828298,99.6651,94.9406,1.79869,2527010166
2529946031_sort.swc,18244,125235000.0,3,1523,3054,1532,266210,433088,58344,361.349,5457250,6472180000,1245640000000.0,289323.0,361906.0,224,0.930319,4.97348,0.818358,101.777,96.5142,1.518,2529946031
2555716306_sort.swc,41132,329935000.0,6,3104,6228,3125,646110,700224,174471,414.532,12496400,16765800000,3711850000000.0,665937.0,761696.0,446,0.932097,5.60421,0.824857,100.201,94.9423,1.90189,2555716306
2557293393_sort.swc,24062,43857400.0,4,1716,3441,1726,461500,518114,174207,404.856,7273400,9388920000,1581750000000.0,361082.0,473324.0,258,0.929541,5.99244,0.81941,101.55,94.9395,1.78059,2557293393
2570433058_sort.swc,57607,189648000.0,5,4584,9188,4605,495450,637372,161502,425.854,17360400,24130000000,6778750000000.0,436059.0,495282.0,349,0.93105,5.2697,0.820587,99.9918,95.1343,1.9914,2570433058
2572667040_sort.swc,8941,100472000.0,5,705,1414,710,196510,231392,58938,392.87,2718500,3508810000,704915000000.0,184346.0,219730.0,116,0.923203,5.32249,0.833292,99.049,94.4597,1.51481,2572667040
2628516388_sort.swc,62235,385470000.0,4,4615,9245,4631,615200,862334,174438,404.142,18829700,24459700000,5155280000000.0,580677.0,662120.0,320,0.929875,5.73164,0.821702,101.055,95.6918,1.84469,2628516388
2657996264_sort.swc,48485,158132000.0,6,3491,7001,3511,709530,833500,174471,429.789,14763900,20631900000,5478640000000.0,675004.0,776699.0,403,0.93069,5.9253,0.827186,100.763,95.1081,1.933,2657996264
2658989242_sort.swc,58990,242662000.0,8,4667,9363,4697,440280,521920,174141,433.129,17973900,24952800000,5643370000000.0,422668.0,514998.0,354,0.931084,5.30022,0.831577,100.031,93.8496,1.99468,2658989242
